Year,URBANISATION,AREA,Series,Value
2014,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.5
2006,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2007,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.9
2008,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.4
2009,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",87.5
2011,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2012,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.0
2013,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.6
2014,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2015,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2017,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2019,Rural,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",96.1
2000,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
